# x_shifted(Å)   v_internal(dx/dt_internal)
-0.2145826722 0.0326648799
-0.2073843718 -0.0859922149
-0.1768322859 -0.0132612285
-0.1756866168 -0.0140806688
-0.2283202073 -0.2333497512
-0.2068675690 0.0022433646
-0.1918426291 0.0444145766
-0.2216868276 -0.1210441232
-0.1204299293 -0.2888871548
-0.2266923918 0.2943735760
-0.1878318799 -0.0082619420
-0.1245081752 0.0095572793
-0.3047022903 0.1915125446
-0.1908924218 0.1146458603
-0.1202036002 0.2355017386
-0.1965706221 -0.2369904511
-0.1743496665 0.2340732175
-0.2072450389 -0.0612605595
-0.1710793014 -0.0297082751
-0.2917478257 0.0863437117
-0.1639949564 -0.1231360182
-0.1285786651 -0.2336543313
-0.2648301455 -0.2025420543
-0.3198915308 -0.0951557897
-0.2844421944 -0.1696082796
-0.2902914248 -0.0726726409
-0.2073382593 0.2509255923
-0.2931023920 -0.0760155799
-0.1898456706 0.2509673611
-0.1865863762 -0.0788402675
-0.3063720683 -0.0529734968
-0.2889481092 -0.2909243547
-0.2691899023 0.2466154424
-0.2146317854 0.2622611148
-0.2126871127 -0.1366295130
-0.2552106300 -0.1771008461
-0.2187717337 0.1722936283
-0.1980132519 -0.1319298693
-0.2867083387 0.1253410087
-0.2603923774 -0.3754340843
-0.2054104931 -0.1354416009
-0.2218094638 0.1462345082
-0.2526536516 -0.0358694929
-0.2684360836 0.0962252254
-0.2181742219 -0.0376483898
-0.2171834560 0.2132460500
-0.2416350869 -0.4129020550
-0.2692357528 0.0183663077
-0.2636112945 0.0866622416
-0.2869326836 0.1976983012
-0.2456890982 0.2029160571
-0.2358053210 0.1103174754
-0.2977917068 -0.0291419599
-0.2064718587 0.1541276345
-0.2538004605 0.1820076033
-0.2764036010 0.1528631860
-0.3179875671 -0.0294619395
-0.2186059733 0.0961907593
-0.2341361729 0.0824229062
-0.2446551086 0.1035571062
-0.2790770173 0.0518837729
-0.2064567686 0.0605504651
-0.2217648580 0.0264690702
-0.3144453810 0.0579284978
-0.2937405820 -0.2022521791
-0.2026888822 0.1785916358
-0.1654712077 0.0152715253
-0.2300410315 -0.0865238525
-0.2823177379 -0.0774114129
-0.1203027556 -0.1837263540
-0.2536092500 0.1982570730
-0.1719920111 -0.1494747422
-0.2698114592 0.2136839461
-0.2563333683 0.3042594027
-0.2939195924 -0.0719501335
-0.2189873927 -0.1776003436
-0.3190103566 0.1025438247
-0.1915464728 0.0729333917
-0.2190505996 0.1217531711
-0.1695662612 0.2200693094
-0.2934339853 0.0593759076
-0.2354589396 -0.0462250988
-0.2052338237 0.0916712571
-0.2160517337 -0.0651775192
-0.2512425624 -0.2609034302
-0.1525563821 0.0297538252
-0.1396296980 -0.1243029181
-0.2135424456 -0.1357970658
-0.2559872802 -0.0510973152
-0.1295963450 0.3105763316
-0.2813270667 0.0764707372
-0.2607343665 0.1102265649
-0.1833062437 -0.1073049007
-0.2139433261 0.1387521697
-0.1365735483 -0.0218702258
-0.2887601933 -0.1468264039
-0.2603533179 -0.0405622570
-0.1341243183 -0.0536785718
-0.3284782801 -0.0179127396
-0.1192341202 -0.0027110326
-0.2860893217 -0.0390965615
-0.2247476707 0.1763252043
-0.2467091286 0.2198859178
-0.1681745321 -0.0641833518
-0.2709258607 -0.0543086917
-0.1669615037 0.1106932901
-0.2738463103 -0.0490297853
-0.1601502670 0.1069151751
-0.2772849939 -0.3755673586
-0.2248001741 0.0233265682
-0.2595166323 -0.0366412182
-0.1787447329 0.1611760166
-0.2764849646 -0.0065635273
-0.2244664983 -0.0193126783
-0.2664594643 0.1394295635
-0.2640731264 -0.0252417691
-0.1981429884 0.0581866057
-0.2431632805 -0.1813765169
-0.3090990902 0.0339581111
-0.1173691530 -0.0086135547
-0.2395561929 0.1380050145
-0.2196570342 0.2374298833
-0.2058719295 -0.1091490156
-0.2984375990 -0.1678033318
-0.2484506733 -0.0329226152
-0.2572000015 0.1168286612
-0.2443954933 -0.0696780286
-0.2526876368 0.2072978305
-0.2931524784 0.0986774338
-0.2672960277 0.0383372795
-0.2616309478 -0.2373775180
-0.3091556479 -0.3400793741
-0.1992025153 0.2943491555
-0.2659498679 0.0895935026
-0.2107222338 -0.3331000701
-0.2741195890 -0.0725928137
-0.1895036129 0.0099557732
-0.2374186202 0.0718110009
-0.1877273280 0.0671210740
-0.1942418787 0.1441887230
-0.2887966578 0.0644808327
-0.2760012845 -0.0321006963
-0.1817079830 -0.1240216534
-0.3010576207 -0.1011392449
-0.1974611494 0.3064994946
-0.2473692376 -0.3239250382
-0.1766418679 -0.1123486781
-0.1544825921 -0.2467388424
-0.2831711294 -0.1195906722
-0.1581743806 0.1874172869
-0.2918539828 0.0094095871
-0.1869661532 0.1784320646
-0.2729916658 0.1226211324
-0.2086653074 -0.0468940978
-0.1274017231 0.0943735325
-0.3099507474 -0.1840883092
-0.1989638198 -0.0403686575
-0.3368601279 -0.1497344325
-0.2642338243 -0.0261746193
-0.2062445441 0.2109038486
-0.2099696879 -0.1900010586
-0.1930962631 0.0403309812
-0.2297236752 0.2300405868
-0.2223285764 0.1773395852
-0.2092446595 0.0184165542
